==============================================
BraTS 2D Federated Learning
Job ID:       22541309
Node(s):      gpu-q-7
Workdir:      /home/bk489/federated/federated-thesis
Script:       /home/bk489/federated/federated-thesis/experiments/brats/brats_n_clients.py
Partition dir:/home/bk489/federated/federated-thesis/data/partitions/brats2d_2client_extreme/client_data
Global test:  /home/bk489/federated/federated-thesis/data/partitions/brats2d_2client_extreme/global_test
Results dir:  /home/bk489/federated/federated-thesis/results/brats
Strategy:     fedprox (mu=0.8)
Model:        UNet2D base=16
Fraction:     1.0 | DropPercent: 0.0
Rounds:       50 | LocalEpochs: 10
Batch:        4 | LR: 0.01 | Seed: 42
WeightDecay:  0.0 | NumWorkers: 2
Python:       /home/bk489/.conda/envs/fed/bin/python
Python 3.9.16 | packaged by conda-forge | (main, Feb  1 2023, 21:39:03) 
[GCC 11.3.0]
PyTorch 2.8.0+cu128 CUDA: 12.8 CUDA available: True Device count: 1
Wed Feb 11 15:06:47 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.195.03             Driver Version: 570.195.03     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-80GB          On  |   00000000:01:00.0 Off |                    0 |
| N/A   37C    P0             66W /  500W |       0MiB /  81920MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
==============================================

>>> Running FEDPROX (mu=0.8) ...

Using global_test_dir: /home/bk489/federated/federated-thesis/data/partitions/brats2d_2client_extreme/global_test (180 files)

============================================================
Federated Learning -- FEDPROX
============================================================
Model:          UNet2D (base=16, 482,915 params)
Input channels: 4
Clients:        2
Rounds:         50
Local epochs:   10
Batch size:     4
Learning rate:  0.01
Weight decay:   0.0
Fraction fit:   1.0
Drop percent:   0.0
Proximal mu:    0.8
Device:         cuda
Partition dir:  /home/bk489/federated/federated-thesis/data/partitions/brats2d_2client_extreme/client_data
============================================================

Client data distribution:
  client_0: train=660  test=85
  client_1: train=665  test=85

    Client 0: loss=1.4283, epochs=10
    Client 1: loss=1.4538, epochs=10
  Round   1/50: Pooled Loss=1.3553, Pooled Mean=0.2887 (WT=0.4748 TC=0.0516 ET=0.3397) | C0 Mean=0.2938 | C1 Mean=0.1625 WorstC Mean=0.1625 [62.0s]
    Client 1: loss=1.2867, epochs=10
    Client 0: loss=1.2369, epochs=10
  Round   2/50: Pooled Loss=1.2058, Pooled Mean=0.4095 (WT=0.6420 TC=0.0054 ET=0.5811) | C0 Mean=0.3929 | C1 Mean=0.1519 WorstC Mean=0.1519 [50.5s]
    Client 0: loss=1.1007, epochs=10
    Client 1: loss=1.1829, epochs=10
  Round   3/50: Pooled Loss=1.0923, Pooled Mean=0.4464 (WT=0.7241 TC=0.0018 ET=0.6134) | C0 Mean=0.4250 | C1 Mean=0.1446 WorstC Mean=0.1446 [49.7s]
    Client 0: loss=0.9904, epochs=10
    Client 1: loss=1.1103, epochs=10
  Round   4/50: Pooled Loss=1.0032, Pooled Mean=0.5569 (WT=0.7291 TC=0.3015 ET=0.6402) | C0 Mean=0.5368 | C1 Mean=0.1931 WorstC Mean=0.1931 [49.7s]
    Client 0: loss=0.8909, epochs=10
    Client 1: loss=1.0573, epochs=10
  Round   5/50: Pooled Loss=0.9275, Pooled Mean=0.6381 (WT=0.7380 TC=0.5358 ET=0.6404) | C0 Mean=0.6141 | C1 Mean=0.2266 WorstC Mean=0.2266 [50.5s]
    Client 1: loss=1.0174, epochs=10
    Client 0: loss=0.7970, epochs=10
  Round   6/50: Pooled Loss=0.8377, Pooled Mean=0.6851 (WT=0.7983 TC=0.6369 ET=0.6203) | C0 Mean=0.6705 | C1 Mean=0.2508 WorstC Mean=0.2508 [51.6s]
    Client 1: loss=0.9870, epochs=10
    Client 0: loss=0.7095, epochs=10
  Round   7/50: Pooled Loss=0.7690, Pooled Mean=0.6972 (WT=0.8095 TC=0.6496 ET=0.6327) | C0 Mean=0.6894 | C1 Mean=0.2621 WorstC Mean=0.2621 [50.0s]
    Client 0: loss=0.6325, epochs=10
    Client 1: loss=0.9640, epochs=10
  Round   8/50: Pooled Loss=0.6887, Pooled Mean=0.7168 (WT=0.8266 TC=0.6600 ET=0.6637) | C0 Mean=0.7115 | C1 Mean=0.2611 WorstC Mean=0.2611 [50.1s]
    Client 0: loss=0.5663, epochs=10
    Client 1: loss=0.9477, epochs=10
